"filename", "language", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\Jam3 (1)\Assets\Free HDR Skyboxes Pack\Example Scenes\Script\RotateCamera.cs", "C#", 15, 2, 5, 22
"Total", "-", 15, 2, 5, 22
